code,type,dol_per_1000_ft,inst_dol_per_1000_ft,accessories_dol_per_1000_ft,str_costs_dol,area_mm2,diameter_mm,weight_n_per_m,conductor_rts_kn,temp_low_c,temp_high_c,max_temperature_c,res_low_ohm_per_m,res_high_ohm_per_m,elastic_modulus_gpa,coeff_thermal_expan_per_cel,temp_dc_c,res_dc_ohm_per_m,res_dc_180_ohm_per_m,emissivity,solar_absorptivity
477.0_PELICAN,ACSR,940,1353,263,0,2.56E+02,2.10E+01,7.55,52.49,25,75,100,1.18E-04,1.45E-04,66,2.12E-05,20,1.18E-04,,0.5,0.5
795.0_DRAKE,ACSR,1711,2359,263,0,4.68E+02,2.80E+01,15.96,140.12,25,75,100,7.02E-05,8.63E-05,75.5,1.92E-05,20,7.02E-05,,0.5,0.5
1272.0_PHEASANT,ACSR,2483,3567,263,0,7.27E+02,3.50E+01,23.84,193.94,25,75,100,4.43E-05,5.68E-05,62.7,1.93E-05,20,4.43E-05,,0.5,0.5
477.0_FLICKER,ACSS,1081,1357,263,0,2.73E+02,2.10E+01,8.97,57.83,25,75,200,1.17E-04,1.43E-04,65.25,1.80E-05,20,1.15E-04,,0.5,0.5
795.0_DRAKE,ACSS,1721,2359,263,0,4.68E+02,2.80E+01,15.95,115.21,25,75,200,7.05E-05,8.57E-05,67.95,1.73E-05,20,6.97E-05,,0.5,0.5
1272.0_PHEASANT,ACSS,2719,3567,263,0,7.27E+02,3.50E+01,23.85,151.68,25,75,200,4.00E-05,5.63E-05,56.43,1.74E-05,20,4.37E-05,,0.5,0.5
1590.0_FALCON,ACSS,3393,4664,263,0,9.09E+02,3.90E+01,29.83,189.49,25,75,200,3.70E-05,4.57E-05,56.43,1.74E-05,20,3.50E-05,,0.5,0.5
467_GLASGOW,ACCC,2407.5,3415,750,0,2.37E+02,2.00E+01,7.18,115,25,200,200,1.22E-04,2.04E-04,76.4,1.75E-05,20,1.19E-04,1.96E-04,0.5,0.5
725_AMSTERDAM,ACCC,3090,4652.5,750,0,3.67E+02,2.40E+01,10.8,122.4,25,200,200,7.84E-05,1.32E-04,73.8,1.91E-05,20,7.62E-05,1.26E-04,0.5,0.5
1242_VIENNA,ACCC,4902.5,7125,750,0,6.29E+02,3.00E+01,18.18,165.5,25,200,200,4.66E-05,7.73E-05,72.5,1.99E-05,20,4.45E-05,7.33E-05,0.5,0.5
1999_MADRID,ACCC,8475,11660,750,0,1.01E+03,3.80E+01,28.92,219.1,25,200,200,3.02E-05,4.85E-05,71.5,2.05E-05,20,2.76E-05,4.54E-05,0.5,0.5
2715_SANFORD,AECC,10170,13992,750,0,1.57E+03,4.48E+01,39.24,365.6,25,75,200,2.45E-05,2.82E-05,61.6,1.35E-05,20,2.05E-05,,0.5,0.5
1360_SIERRA,AECC,8355,12102,750,0,8.03E+02,3.20E+01,19.8,235.8,25,75,200,4.32E-05,5.11E-05,64.3,1.46E-05,20,4.05E-05,,0.5,0.5
738_MARTIN,AECC,4248,6093,750,0,3.74E+02,2.35E+01,10.73,128.15,25,75,200,7.70E-05,9.20E-05,64.4,1.34E-05,20,7.44E-05,,0.5,0.5
477_HAWK,ACCR,7216,10856,750,0,2.77E+02,2.16E+01,7.781,85.406,25,210,240,1.18E-04,2.05E-04,78,1.67E-05,20,1.15E-04,,0.5,0.5
795_DRAKE,ACCR,13688,18872,750,0,4.84E+02,2.86E+01,13.576,143.233,25,210,240,6.74E-05,1.17E-04,74,1.65E-05,20,6.58E-05,,0.5,0.5
1272_PHEASANT,ACCR,19864,28536,750,0,7.23E+02,3.50E+01,20.236,191.273,25,210,240,4.47E-05,7.74E-05,73,1.71E-05,20,4.36E-05,,0.5,0.5
1590_FALCON,ACCR,27120,37312,750,0,9.10E+02,3.93E+01,25.462,238.425,25,210,240,3.55E-05,6.15E-05,73,1.71E-05,20,3.47E-05,,0.5,0.5
477.0_ROGERS,ACCS,4510,6785,750,0,2.74E+02,1.98E+01,7.041,81.8,25,180,200,1.19E-04,1.93E-04,54.375,1.50E-05,20,0.000115662,,0.5,0.5
795.0_DENALI,ACCS,8555,11795,750,0,4.69E+02,2.57E+01,11.935,161,25,180,200,7.16E-05,1.16E-04,56.625,1.44E-05,20,6.95E-05,,0.5,0.5
1272.0_ELDORADO,ACCS,12415,17835,750,0,7.11E+02,3.16E+01,18.524,173.9,25,180,200,4.60E-05,7.35E-05,47.025,1.45E-05,20,4.36E-05,,0.5,0.5
1590.0_ADIRONDACK,ACCS,16950,23320,750,0,8.88E+02,3.52E+01,23.149,212.6,25,180,200,3.75E-05,5.92E-05,47.025,1.45E-05,20,3.49E-05,,0.5,0.5
